"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010520790,3082,1994,1134,117.17423248291,326,600,58,3196,15105,1951,1446969.69,657071.213684082,789898.476315918,0.208391219377518,0.126146152615547,17.4,366,0,2,0,3599
1010520840,3088,1994,563,42.9541854858398,133,289,40,1443.23549488055,4653,672,672663.94,294668.779907227,377995.160092773,0.214374229311943,0.110904581844807,10.67,397,0,2,0,1614
1010520890,3095,1994,3482,39.0980415344238,195,490,53,1873,7120,657,1068132.03,280961.33,787170.7,0.202677741646767,0.119575254619122,7.79,214,0,2,0,2166
1010520910,3097,1994,377.037199124726,16.7421779632568,65,138,13,731.504451038576,3684,289,427887.64,205596.740722656,222290.899277344,0.246189922094345,0.101992964744568,7.59,266,0,2,0,853
1010520940,3100,1994,1175.30008345842,60.3477935791016,259,480,30,2352,14938,1155,1071033.48,493488.049621582,577545.430378418,0.194598600268364,0.123196445405483,23.68,213,0,2,0,2703
1010520970,3103,1994,1724.40007829666,28.5338497161865,132,323,39,1297,5800,640,976989.26,201969.77,775019.49,0.21081830561161,0.12343966960907,8.24,430,0,2,1,1442
1010521030,3109,1994,660.000050544739,32.1370124816895,150,332,41,1378.0319803198,6182,671,628380.86,214452.53,413928.33,0.150744423270226,0.12531016767025,5.84,293,0,2,0,1612
1010521130,3119,1994,272.283983051777,11.746789932251,74,134,10,679.912899255753,3002,421,492986.625732422,180047.790527344,312938.835205078,0.184738948941231,0.133868813514709,2.77,390,0,2,0,747
1010521230,3129,1994,2475.0276556015,14.3287477493286,55,124,12,785.929784824462,3000,421,358040.46,141045.41,216995.05,0.256726443767548,0.0829596444964409,8.8,162,0,1,1,892
1010521270,3133,1994,1234.40005302429,43,301,673,65,2549.90189666449,13500,1095,1571241.61,413289.99,1157951.62,0.136513158679008,0.133552625775337,8.32,370,0,2,0,3040
1010521330,3140,1994,294.554975032806,11,73,122,12,691.67537826685,2802,459,255627.57,187037.59765625,68589.97234375,0.177835047245026,0.126288652420044,6.29,452,0,2,0,776
